"Hostname","CheckMK ID","Reachable","Uptime Days","Uptime Hours","Reboot Pending","WSUS Update script","Reboot Script","WSUS Update Task","WSUS Reboot Task","Powershell version"
"NDH04TRMMM1-1.mmsrg.net","DE-M125-NDH04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KIE04TRMMM2-1.mmsrg.net","DE-M064-KIE04TRMMM2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LDS04TRMSE1-1.mmsrg.net","DE-S009-LDS04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ERF04TRMMM1-1.mmsrg.net","DE-M076-ERF04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BNN04TRMMM1-1.mmsrg.net","DE-M264-BNN04TRMMM1-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"FFM04TRMSE2-1.mmsrg.net","DE-S044-FFM04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KAS04TRMMM1-1.mmsrg.net","DE-M092-KAS04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"ULM04TRMMM1-1.mmsrg.net","DE-M164-ULM04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOW04TRMMM1-1.mmsrg.net","DE-M312-BOW04TRMMM1-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"KOB04TRMMM1-1.mmsrg.net","DE-M038-KOB04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GLS04TRMSE2-1.mmsrg.net","DE-S042-GLS04TRMSE2-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HOL04TRMMM1-1.mmsrg.net","DE-M229-HOL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOM04TRMSE1-1.mmsrg.net","DE-S307-BOM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SNG04TRMMM1-1.mmsrg.net","DE-M156-SNG04TRMMM1-1","True","9","20","False","Exists","Exists","Ready","Ready","5"
"ZLM04TRMMM1-1.mmsrg.net","DE-M145-ZLM04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KOL04TRMMM4-1.mmsrg.net","DE-M232-KOL04TRMMM4-1","True","2","20","False","Exists","Exists","Ready","Ready","5"
"LNG04TRMMM1-1.mmsrg.net","DE-M157-LNG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HAL04TRMSE1-1.mmsrg.net","DE-S103-HAL04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"KLE04TRMSE1-1.mmsrg.net","DE-S066-KLE04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"SHG04TRMMM1-1.mmsrg.net","DE-M247-SHG04TRMMM1-1","True","8","20","False","Exists","Exists","Ready","Ready","5"
"KUL04TRMMM1-1.mmsrg.net","DE-M250-KUL04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"HTT04TRMSE1-1.mmsrg.net","DE-S319-HTT04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"OSB04TRMSE1-1.mmsrg.net","DE-S079-OSB04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LBG04TRMMM1-1.mmsrg.net","DE-M163-LBG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DRE04TRMMM3-1.mmsrg.net","DE-M235-DRE04TRMMM3-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"GUM04TRMSE1-1.mmsrg.net","DE-S053-GUM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"NWI04TRMMM1-1.mmsrg.net","DE-M132-NWI04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"DOM04TRMSE1-1.mmsrg.net","DE-S004-DOM04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"WUP04TRMSE1-1.mmsrg.net","DE-S102-WUP04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"LBU04TRMSE1-1.mmsrg.net","DE-S070-LBU04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"RBG04TRMMM1-1.mmsrg.net","DE-M259-RBG04TRMMM1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"PDB04TRMSE1-1.mmsrg.net","DE-S337-PDB04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"BOY04TRMSE1-1.mmsrg.net","DE-S095-BOY04TRMSE1-1","True","5","15","False","Exists","Exists","Ready","Ready","5"
"POT04TRMSE1-1.mmsrg.net","DE-S335-POT04TRMSE1-1","True","19","15","False","Exists","Exists","Ready","Ready","5"
